Names
HEMIS 3
KETIYE 1
BENGIBA 3
BERIHVAN 1
GULHANIYE 24
NEBAHATT 1
CANEN 3
BENDI 180
BELMAY 1
NIDIMIYE 1
BITANE 1
ZEHNIYE 137
ISVIHAN 2
RUNAI 1
LAV 3
ULA 10
GOGUS 18
HAFERIYYET 1
MUHTERCIN 1
CEFFAL 1
MERZURA 1
MUNURYA 1
BAYSAFA 1
LEBBAN 1
GENCUK 1
TARUN 4
MERTAY 23
MEBRULE 444
UYGAR 44
DILLIA 1
MUFECCER 2
TIBETHAN 2
SEFERHAN 7
MULHAZE 1
NURJET 1
SALIYHA 1
SALIMET 1
LIYANA 7
BERNES 1
SAHIFER 1
ADILMAN 1
GOKBEL 5
YUMUYE 2
SURMET 4
FEDERIE 1
BILENDOZ 1
TARIN 2
MURBET 1
NILGIN 2
OGIK 1
NAHROZ 3
VILDANUR 10
MAZIZ 2
YURDASERIN 1
GULEMIR 4
DURDANAZ 1
MEZIYET 1641
ALPASTLAN 1
BUHASE 1
SULDANE 4
MEKSELINA 31
GULENDEP 1
CUZEFIN 1
ABDILGAFUR 1
ERGULAY 3
BIRBAHAN 1
MITLIK 1
MAASALLAH 1
HAMMAS 1
EVELIN 3
MUNHERI 1
MUNCU 3
SEVERDIN 2
SACIRIYE 1
RUSAL 3
AYKAL 16
MAHVEC 2
TELCAN 3
FEHTAH 2
RUHINUR 1
SIRUN 4
VALIA 1
MELIKSEL 1
REDIMAN 3
KOCBEY 17
MERAKE 1
RUSHAN 14
TEMURAY 1
SEYIMA 32
KEDUS 1
BILECIK 2
KEVNI 21
AYSEBIRGUL 1
CEMSET 1
TUDU 102
BEDIZAMAN 5
DEDETARIK 1
KUBRAG 1
DUZEN 2
ANAKIZI 2
ANUZ 1
BUASK 2
S.AHMET 44
AYBERKHAN 1
MUTTEKIN 4
MUSTAHSINE 1
BATINER 1
ABDULLATIF 1
DIBAL 2
SENEF 1
SASITTE 1
FETTANIYE 6
FETE 2
NAFITE 1
SAADIN 26
MUMININ 1
HAKO 1
VILCAN 9
SELTANI 1
SEMIRRAH 1
CELELE 2
MAYASE 9
CAGLASIN 2
HIKMETCAN 5
EDEBI 5
CANGUL 1
HAZELE 2
NISAGUL 3
SADIE 10
MISTU 1
UNZADE 1
MERINAS 4
NESINE 9
FIRDEYIS 4
NIMETENDER 1
GULFAYDA 1
MENFER 4
UMURUZAN 2
ELKEYE 1
ELIYAU 1
LOLU 3
SERRUHAN 1
BADIHAZEN 1
GULBEKIR 1
PEMPERUS 1
OLIMBIA 1
RACIBEY 2
GUNEYCAN 5
MESUDU 1
UKTEN 1
RUHEYLE 1
ZOHREM 1
ABDULCEVET 1
YILSON 6
ZUBUDU 1
RENKLI 2
MUSELMAN 5
REVSAH 1
ISTANBULLI 1
EBAN 2
MINE 41674
SELAEDDIN 18
PERISER 7
ZANE 4
NUBE 12
IKLIMAN 1
CUNDA 1
UMBULBER 1
IVANNA 5
ZAKIYA 2
NEHRIYE 43
MANAN 3
AYBOLA 1
TULENSER 1
MUTERRA 3
HACIR 11
ERFUN 1
ERCINAR 2
HAFUS 1
SULHETULLAH 1
GULBANK 2
MEVARET 1
GOYER 2
ALAMIDDIN 19
GULAMINE 1
GULEYIN 6
LENDAG 1
NEVILCAN 2
MILKAN 6
TERVET 1
LEVZAN 6
GUNDEN 38
HURZIYE 6
SEFIYITTIN 1
BEHIYECAN 6
LAYIK 28
YUMMIYE 2
RONALDO 1
ADFAHAN 1
HAZARHAN 3
TEBIYET 1
UBEYDUILAH 1
SAVAHAT 1
GANIYE 287
NARENCIYE 4
TAYCETTIN 1
BAGIR 29
SAADI 5
BURMAGUL 1
GUDA 1
ATLANTIK 3
NAZIME 2
YADIRGAR 1
SHERIA 1
BILGEM 4
NEDAYI 54
HUBULU 1
RABBIYA 1
SEBARET 1
HABINAZ 8
AHMETULLAH 1
CESEREDDIN 1
SASRIYE 1
REVASILE 1
FERCE 1
SAGFURA 1
HURSUTSAH 1
MELTAN 1
RAZIKER 1
MUNIR 26
EBULDERDA 1
NIMMAMI 1
PELIN 16313
BAYKOR 2
TAYLAND 1
GAZAR 3
MUSLUMHUR 1
GUNDOR 3
NURMISAL 3
ASSEF 1
ZEKAY 3
EMYE 1
HIDAYETE 10
KABET 7
KURNAZ 3
JOLIYET 1
ZEZAN 4
NURSUTE 1
UZLUFET 39
SEBAHAETTIN 1
TIMAY 2
NEVRISAN 16
BISTIN 3
HANIS 19
BELKIYA 71
MEFTIN 1
DILGES 25
DILNUR 32
BUTI 4
NURTAN 634
HIRIPSINA 2
TALAT 71
AYTEKIN 12328
NUSAT 1
ESLAM 1
MEZADET 2
ZIMIRA 1
KERKUK 2
ZIZO 3
GURSEVIM 2
MEYMUNE 359
LIGAR 46
BESIMI 3
YEDRA 1
MIDRIK 1
HULYAN 13
HAMDOLA 1
SANOVAR 1
NILOFER 34
LITSI 1
MIRIMELEK 7
MEBRUS 17
DUSUNCAN 1
ZEKAVET 16
SEHPEL 1
ZELIK 3
BUNYEL 1
YASEVIN 3
ASIFET 2
NIHAIL 1
CAMGUL 1
RUKIYE 78221
HAMBUK 1
SAFHAK 1
RECIYE 151
IMBER 1
RAMISKE 1
NUMMAN 4
NASCHO 2
KONER 1
IRAY 7
SAYIMNUR 1
TAZIBAT 1
BERGEM 3
TALIKE 5
AFRASIM 1
ZULAHI 122
TEOPISTI 2
FERANDE 5
HUSNITAK 1
GULEVATUN 2
HYULIYA 1
ABDULSAH 2
METAHAN 5
MUNFIDE 3
ANSAY 5
ASBED 1
DEYCAM 1
INCIMEZ 1
NIDAI 242
TENZURE 2
SELAHADIN 28
UZURE 4
NECAR 40
SEHBA 3
NIKTERIN 1
ABDULNIHAT 5
SILWA 2
DERNEK 1
ATKIN 18
NEJMUNE 1
RUKIYYE 103
SAKIME 26
KAYRAN 3
ATFI 5
CAHFAR 7
MIR-I 2
ROZAKHAN 1
IYAP 1
NAFEY 1
ADASU 1
YAHLEMIN 1
BAGTUGHAN 1
MUKTAZIM 1
RIFE 1
FRANCINA 2
RAFEDDIN 7
GULFERIT 20
SAYANGUL 1
MEYNUME 1
NERSAN 7
MUUMINAT 1
SAMIYETTIN 1
SEVILEN 243
GULCIRAK 1
MEYRAMMA 1
ISVEKAR 1
EKRUMIYE 6
AYDINER 130
JAKGUELIN 1
ZIYHAN 1
ATIKCAN 2
DINNAVAZ 1
ZITDIKE 1
SEPBEK 1
DIKICIOGLU 1
FERAZIM 5
TACIHANT 1
MUDARE 1
NACIHAN 89
AKESER 1
RABIFE 1
SEHMI 2
IHTARIYE 1
EGIL 1
BILADIN 2
MESSULE 1
NEPHAN 9
SALBAY 1
HAFILE 5
HAMZIYA 1
HACERMERAL 1
UDMAN 2
IHNUR 3
BILAKSAN 1
DUNYE 4
MUKEREREM 1
MECDAN 3
SAHIM 44
HUNGOR 1
FADINE 11
UTULAY 1
METINONUR 1
EYMEL 2
ISAMETIN 2
ZUNE 1
GULCAY 497
TURANSALI 1
HANIFI 30
HACIEMIN 21
CANDANGULER 1
YADIRE 1
MAKRUM 1
MINATIYE 1
METUS 12
IZZEM 1
NAKLIYE 13
YURDADAG 1
SURRULLAH 1
MEHMETSAMI 1
KUTRU 1
MUSMIRE 1
MAKSER 2
MUSLEP 1
ZERDAN 2
ECEMHAN 2
ZEYNELI 2
ESATTIN 5
ZIYADAR 1
TAFETTIN 1
FAILET 6
MEFDUNE 3
LAZEZAR 1
IMHEYYE 1
YELTEKIN 21
NUHA 31
MAMUNE 1
UMUZ 5
ABDILILAH 2
FERAY 5870
SIHANUK 1
VEYNUR 3
HASBIKAR 1
BESCET 1
OMRU 45
GUTI 1
SEYALE 5
URHUC 90
FIRUZANFER 2
HUNTAY 1
FERSUT 1
HUNLE 1
SARAYYI 1
MUGMIYE 1
AYDIN 464
SAGHA 13
FIKRO 7
CHABAN 1
TOPNAZ 4
NURUDE 2
BERNIN 1
KUBATA 1
NORMAL 1
BAYZA 2
ERDUVEN 1
ADYE 1
CIVGIN 1
HASSE 120
NEKTEL 18
TULCE 1
BRONZER 1
CANGUZEL 2
ARYA 3
HASANBIRA 1
MUHAREM 308
UMHAN 36
TURCEL 23
MIFE 2
HALDE 7
GAMMER 2
ZEYDILLAH 1
NARMEN 1
NIYER 7
MUHAMMETHASIM 1
NAZIRI 3
ZUBEYTE 3
ALLAME 1
KISMAT 1
MISKIYE 22
SUVIRE 1
NEFSAYE 1
ZENE 5
SEHBAN 6
MES''UD 1
MATYS 1
GULUSAT 3
MUMUNIYE 1
SAPAHATTIN 1
SEZCAN 107
CILEMFADIME 1
GALBI 1
SENSOY 29
UMUME 3
SAHTI 1
HACIZE 15
MUSTAP 1
HASIHAN 10
HANSE 1298
YAVAIL 1
SIMIL 1
VEGIS 1
SAFGUL 1
BIYAETTIN 1
KADIRAY 3
